issue_id,user,createtime,durationtime,assignee,commentsnumber
1,user1,1423607806,8903,user1,4
2,user1,1423607942,190701,user1,6
4,user2,1423610508,848449,None,5
5,user1,1423668647,130018,user1,1
6,user1,1423668757,779742,user1,13
7,user1,1423668790,1332352,user2,14
8,user1,1423668830,654797,user1,3
9,user1,1423668887,779672,user1,5
10,user1,1423668942,697731,user2,12
11,user1,1423668992,364093,user1,2
12,user1,1423851757,83564,user1,0
13,user1,1424026355,613278,user2,2
14,user3,1424038291,2701,None,1
15,user3,1424038415,57152,None,6
16,user3,1424038497,57295,user3,5
17,user2,1424038936,238986,None,2
18,user3,1424052954,2675,None,10
19,user3,1424055412,40356,user3,1
20,user1,1424057134,391407,user1,12
21,user3,1424095735,720239,user3,11
22,user3,1424120865,948927,None,2
23,user1,1424381140,1040294,user4,5
25,user1,1424390986,678806,None,9
26,user3,1424443060,5705,user1,1
27,user1,1424448940,816090,user1,3
28,user2,1424640252,760622,user2,2
29,user3,1424702112,31395,None,8
30,user3,1424816038,269668,user3,4
31,user3,1424816447,1719740,None,17
32,user1,1425067426,351366,user3,2
33,user2,1425067706,2530579,None,3
34,user1,1425067716,353674,user1,2
35,user2,1425067879,1063466,user2,2
36,user2,1425067938,1181458,user1,5
37,user2,1425068011,1375119,user1,8
38,user2,1425068776,1022531,user2,4
39,user1,1425098527,68778,None,2
40,user3,1425419086,1099563,user1,63
41,user2,1425611717,761104,user2,3
42,user2,1425748153,132,None,1
43,user2,1426373481,75056,user2,4
44,user2,1426374012,654885,user2,11
45,user3,1426377803,177690,user2,6
46,user3,1426442570,75,None,3
47,user2,1426449036,1125976,None,12
48,user3,1426512414,368300,None,25
49,user3,1426513355,139766,user1,26
50,user3,1426513501,300924,user1,5
51,user2,1426540582,689812,user1,18
52,user1,1426645307,209757,user4,2
53,user2,1426698843,382835,user2,38
54,user3,1426880966,26790,user1,19
55,user3,1426881084,7327,None,3
56,user2,1427082417,148024,user1,18
58,user1,1427230880,344144,user1,7
59,user1,1427230944,344055,user3,1
60,user1,1427230981,1431,user2,2
61,user1,1427233505,341477,user3,0
62,user1,1427233761,364028,user3,20
63,user2,1427252042,240208,None,2
64,user1,1427330177,174089,user1,3
65,user1,1427334863,68333,user1,8
66,user3,1427337921,489217,user3,2
67,user1,1427403230,3372,user4,2
68,user4,1427406829,71,user4,1
69,user2,1427463062,48271,user2,3
70,user2,1427465293,101548,None,3
71,user1,1427575279,12527,user3,4
72,user1,1427575329,2434,user2,3
73,user1,1427575419,19107,None,1
74,user1,1427575457,15092,None,1
75,user1,1427575923,99584,user2,3
76,user4,1427576086,23678,user4,3
77,user1,1427576489,532484,user1,5
78,user1,1427576725,1506,None,1
79,user3,1427589070,1075,user1,7
80,user3,1427594731,54660,user2,2
81,user4,1427599961,166414,None,2
82,user1,1427641457,34153,user2,1
83,user1,1427661438,7514,None,1
84,user4,1427777926,10,user4,0
85,user4,1427782840,160,user4,0
86,user4,1427782955,45,user4,0
87,user2,1427810190,15383,user1,3
88,user4,1427838875,151888,user4,1
89,user1,1427990844,23021,None,11
90,user3,1427991077,34897,user3,11
91,user2,1428075488,35024,user2,6
92,user2,1428110892,8572,None,0
93,user2,1428325462,24400,user2,1
